Kurbelwinkel	Hub_EV
[KWnEO]	[mm]
114.3	 0.091600
114.4	 0.085600
114.5	 0.079500
114.6	 0.073400
114.7	 0.067300
114.8	 0.061300
114.9	 0.055200
115.0	 0.049100
115.1	 0.042900
115.2	 0.036800
115.3	 0.030700
115.4	 0.024600
115.5	 0.018400
115.6	 0.012300
115.7	 0.006200
